Abbreviation,Name,Year,Price,Adjusted price
XONE,Xbox One,2013,499.0,499.0
PS4,PlayStation 4,2013,399.0,399.0
OUYA,Ouya,2013,99.0,99.0
WIIU,Wii U,2012,299.0,302.6752488248802
VITA,PlayStation Vita,2012,249.0,252.0606587203852
3DS,Nintendo 3DS,2011,250.0,258.3258157434078
IPAD,iPad,2010,499.0,531.8151736059898
ZBO,Zeebo,2009,280.0,303.30652734699964
DIDJ,Leapfrog Didj,2008,90.0,97.17989307992758
IPHN,iPhone,2007,599.0,671.4607685289756
WII,Wii,2006,249.0,287.13374209285973
PS3,PlayStation 3,2006,599.0,690.7353876049116
HSCN,HyperScan,2006,70.0,80.72032910241037
X360,Xbox 360,2005,399.0,474.9308987709116
GIZ,Gizmondo,2005,229.0,272.57938801638784
GWAV,Game Wave,2005,99.0,117.83999743939911
VSML,V.Smile,2005,90.0,107.12727039945375
PSP,PlayStation Portable,2005,249.0,296.3854481051554
DS,Nintendo DS,2004,150.0,184.55498698663376
XAVX,XaviXPORT,2004,79.0,97.19895981296044
ZOD,Zodiac,2004,299.0,367.87960739335665
LEAP,Leapster,2003,80.0,101.05499999999999
NGE,N-Gage,2003,299.0,377.6930625
XBOX,Xbox,2001,299.0,392.5376709814074
GP32,GamePark 32,2001,160.0,210.05360320075312
IPOD,iPod,2001,399.0,523.8211729818781
GC,GameCube,2001,199.0,261.25416898093675
GBA,Game Boy Advance,2001,100.0,131.28350200047072
WSC,WonderSwan Color,2000,59.0,79.6389498136766
PS2,PlayStation 2,2000,299.0,403.5939999032086
64DD,Nintendo 64DD,1999,300.0,418.5769884942472
NGPC,Neo Geo Pocket Color,1999,70.0,97.66796398199101
DC,Dreamcast,1998,199.0,283.7454537089106
GBC,Game Boy Color,1998,70.0,99.80995859107406
GCOM,Game.Com,1997,70.0,101.35402585267093
N64,Nintendo 64,1996,199.0,294.87036179142547
PIPN,Pippin,1995,599.0,913.6397692223558
VBOY,Virtual Boy,1995,179.0,273.0242382150279
BS-X,Satellaview,1995,145.0,221.16488570491083
32X,Sega 32X,1994,159.0,249.3224051273402
PS1,PlayStation,1994,299.0,468.8515668746838
SAT,Saturn,1994,399.0,625.6581109799292
PDIA,Bandai Playdia,1994,295.0,462.57930511047397
NGCD,Neo Geo CD,1994,300.0,470.41963231573624
JAG,Jaguar,1993,250.0,402.1915556324624
CD32,Amiga CD32,1993,250.0,402.1915556324624
LACT,Pioneer LaserActive,1993,970.0,1560.503235853954
3DO,3DO,1993,700.0,1126.1363557708949
SCD,Sega CD,1992,299.0,495.30574449129904
SVIS,Watara Supervision,1992,50.0,82.82704757379582
CDI,CD-i,1991,700.0,1194.8485924112608
CDTV,Commodore CDTV,1991,799.0,1363.834321909425
SNES,Super Nintendo Entertainment System,1990,199.0,353.9986491485426
GG,Game Gear,1990,150.0,266.8331526245296
NEO,Neo Geo,1990,650.0,1156.276994706295
LYNX,Lynx,1989,190.0,356.30499562966446
GB,Game Boy,1989,179.0,335.67681167215756
